2022-11-28 02:40:12 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:02:43 | INFO     | DF | Running on device cuda:2
2022-11-28 03:02:43 | INFO     | DF | Model loaded
2022-11-28 03:02:43 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_20.0_clnsp1.wav' in 0.4s (RT factor: 0.011)
2022-11-28 03:02:44 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:02:44 | INFO     | DF | Running on host workstation3
2022-11-28 03:02:44 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:02:44 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:02:45 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:02:45 | INFO     | DF | Running on device cuda:2
2022-11-28 03:02:45 | INFO     | DF | Model loaded
2022-11-28 03:02:46 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_30.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:02:47 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:02:47 | INFO     | DF | Running on host workstation3
2022-11-28 03:02:47 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:02:47 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:02:48 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:02:48 | INFO     | DF | Running on device cuda:2
2022-11-28 03:02:48 | INFO     | DF | Model loaded
2022-11-28 03:02:48 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_40.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:02:50 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:02:50 | INFO     | DF | Running on host workstation3
2022-11-28 03:02:50 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:02:50 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:02:51 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:02:51 | INFO     | DF | Running on device cuda:2
2022-11-28 03:02:51 | INFO     | DF | Model loaded
2022-11-28 03:02:51 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_0.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:02:52 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:02:52 | INFO     | DF | Running on host workstation3
2022-11-28 03:02:52 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:02:52 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:02:53 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:02:53 | INFO     | DF | Running on device cuda:2
2022-11-28 03:02:53 | INFO     | DF | Model loaded
2022-11-28 03:02:54 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_10.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:02:55 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:02:55 | INFO     | DF | Running on host workstation3
2022-11-28 03:02:55 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:02:55 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:02:56 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:02:56 | INFO     | DF | Running on device cuda:2
2022-11-28 03:02:56 | INFO     | DF | Model loaded
2022-11-28 03:02:56 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_20.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:02:57 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:02:57 | INFO     | DF | Running on host workstation3
2022-11-28 03:02:58 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:02:58 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:02:59 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:02:59 | INFO     | DF | Running on device cuda:2
2022-11-28 03:02:59 | INFO     | DF | Model loaded
2022-11-28 03:02:59 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_30.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:03:00 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:03:00 | INFO     | DF | Running on host workstation3
2022-11-28 03:03:00 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:03:00 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:03:01 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:03:01 | INFO     | DF | Running on device cuda:2
2022-11-28 03:03:01 | INFO     | DF | Model loaded
2022-11-28 03:03:02 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_40.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:03:03 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:03:03 | INFO     | DF | Running on host workstation3
2022-11-28 03:03:03 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:03:03 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:03:04 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:03:04 | INFO     | DF | Running on device cuda:2
2022-11-28 03:03:04 | INFO     | DF | Model loaded
2022-11-28 03:03:04 | INFO     | DF | Enhanced noisy audio file 'noisy3_SNRdb_0.0_clnsp3.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:03:06 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:03:06 | INFO     | DF | Running on host workstation3
2022-11-28 03:03:06 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:03:06 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:03:07 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:03:07 | INFO     | DF | Running on device cuda:2
2022-11-28 03:03:07 | INFO     | DF | Model loaded
2022-11-28 03:03:07 | INFO     | DF | Enhanced noisy audio file 'noisy3_SNRdb_10.0_clnsp3.wav' in 0.4s (RT factor: 0.011)
2022-11-28 03:03:08 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:03:08 | INFO     | DF | Running on host workstation3
2022-11-28 03:03:08 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:03:08 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:03:09 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:03:09 | INFO     | DF | Running on device cuda:2
2022-11-28 03:03:09 | INFO     | DF | Model loaded
2022-11-28 03:03:10 | INFO     | DF | Enhanced noisy audio file 'noisy3_SNRdb_20.0_clnsp3.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:03:11 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:03:11 | INFO     | DF | Running on host workstation3
2022-11-28 03:03:11 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:03:11 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:03:12 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:03:12 | INFO     | DF | Running on device cuda:2
2022-11-28 03:03:12 | INFO     | DF | Model loaded
2022-11-28 03:03:12 | INFO     | DF | Enhanced noisy audio file 'noisy3_SNRdb_30.0_clnsp3.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:03:13 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:03:13 | INFO     | DF | Running on host workstation3
2022-11-28 03:03:13 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:03:13 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:03:14 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:03:14 | INFO     | DF | Running on device cuda:2
2022-11-28 03:03:14 | INFO     | DF | Model loaded
2022-11-28 03:03:15 | INFO     | DF | Enhanced noisy audio file 'noisy3_SNRdb_40.0_clnsp3.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:30:32 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:30:32 | INFO     | DF | Running on host workstation3
2022-11-28 04:30:32 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:30:32 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:30:33 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:30:33 | INFO     | DF | Running on device cuda:2
2022-11-28 04:30:33 | INFO     | DF | Model loaded
2022-11-28 04:30:33 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_0.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:30:35 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:30:35 | INFO     | DF | Running on host workstation3
2022-11-28 04:30:35 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:30:35 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:30:36 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:30:36 | INFO     | DF | Running on device cuda:2
2022-11-28 04:30:36 | INFO     | DF | Model loaded
2022-11-28 04:30:36 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_1.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:30:37 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:30:37 | INFO     | DF | Running on host workstation3
2022-11-28 04:30:38 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:30:38 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:30:39 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:30:39 | INFO     | DF | Running on device cuda:2
2022-11-28 04:30:39 | INFO     | DF | Model loaded
2022-11-28 04:30:39 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_2.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:30:40 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:30:40 | INFO     | DF | Running on host workstation3
2022-11-28 04:30:40 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:30:40 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:30:41 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:30:41 | INFO     | DF | Running on device cuda:2
2022-11-28 04:30:41 | INFO     | DF | Model loaded
2022-11-28 04:30:42 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_3.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:30:43 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:30:43 | INFO     | DF | Running on host workstation3
2022-11-28 04:30:43 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:30:43 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:30:44 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:30:44 | INFO     | DF | Running on device cuda:2
2022-11-28 04:30:44 | INFO     | DF | Model loaded
2022-11-28 04:30:44 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_4.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:30:46 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:30:46 | INFO     | DF | Running on host workstation3
2022-11-28 04:30:46 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:30:46 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:30:47 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:30:47 | INFO     | DF | Running on device cuda:2
2022-11-28 04:30:47 | INFO     | DF | Model loaded
2022-11-28 04:30:47 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_5.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:30:48 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:30:48 | INFO     | DF | Running on host workstation3
2022-11-28 04:30:48 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:30:48 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:30:49 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:30:49 | INFO     | DF | Running on device cuda:2
2022-11-28 04:30:49 | INFO     | DF | Model loaded
2022-11-28 04:30:50 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_6.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:30:51 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:30:51 | INFO     | DF | Running on host workstation3
2022-11-28 04:30:51 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:30:51 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:30:52 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:30:52 | INFO     | DF | Running on device cuda:2
2022-11-28 04:30:52 | INFO     | DF | Model loaded
2022-11-28 04:30:52 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_7.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:30:54 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:30:54 | INFO     | DF | Running on host workstation3
2022-11-28 04:30:54 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:30:54 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:30:55 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:30:55 | INFO     | DF | Running on device cuda:2
2022-11-28 04:30:55 | INFO     | DF | Model loaded
2022-11-28 04:30:55 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_8.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:30:56 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:30:56 | INFO     | DF | Running on host workstation3
2022-11-28 04:30:56 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:30:56 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:30:57 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:30:57 | INFO     | DF | Running on device cuda:2
2022-11-28 04:30:57 | INFO     | DF | Model loaded
2022-11-28 04:30:58 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_9.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:30:59 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:30:59 | INFO     | DF | Running on host workstation3
2022-11-28 04:30:59 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:30:59 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:31:00 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:31:00 | INFO     | DF | Running on device cuda:2
2022-11-28 04:31:00 | INFO     | DF | Model loaded
2022-11-28 04:31:00 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_0.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:31:02 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:31:02 | INFO     | DF | Running on host workstation3
2022-11-28 04:31:02 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:31:02 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:31:03 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:31:03 | INFO     | DF | Running on device cuda:2
2022-11-28 04:31:03 | INFO     | DF | Model loaded
2022-11-28 04:31:03 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_1.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:31:04 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:31:04 | INFO     | DF | Running on host workstation3
2022-11-28 04:31:04 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:31:04 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:31:05 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:31:05 | INFO     | DF | Running on device cuda:2
2022-11-28 04:31:05 | INFO     | DF | Model loaded
2022-11-28 04:31:06 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_2.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:31:07 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:31:07 | INFO     | DF | Running on host workstation3
2022-11-28 04:31:07 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:31:07 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:31:08 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:31:08 | INFO     | DF | Running on device cuda:2
2022-11-28 04:31:08 | INFO     | DF | Model loaded
2022-11-28 04:31:08 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_3.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:31:10 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:31:10 | INFO     | DF | Running on host workstation3
2022-11-28 04:31:10 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:31:10 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:31:11 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:31:11 | INFO     | DF | Running on device cuda:2
2022-11-28 04:31:11 | INFO     | DF | Model loaded
2022-11-28 04:31:11 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_4.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:31:12 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:31:12 | INFO     | DF | Running on host workstation3
2022-11-28 04:31:12 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:31:12 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:31:13 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:31:13 | INFO     | DF | Running on device cuda:2
2022-11-28 04:31:13 | INFO     | DF | Model loaded
2022-11-28 04:31:14 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_5.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:31:15 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:31:15 | INFO     | DF | Running on host workstation3
2022-11-28 04:31:15 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:31:15 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:31:16 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:31:16 | INFO     | DF | Running on device cuda:2
2022-11-28 04:31:16 | INFO     | DF | Model loaded
2022-11-28 04:31:16 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_6.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:31:18 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:31:18 | INFO     | DF | Running on host workstation3
2022-11-28 04:31:18 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:31:18 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:31:19 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:31:19 | INFO     | DF | Running on device cuda:2
2022-11-28 04:31:19 | INFO     | DF | Model loaded
2022-11-28 04:31:19 | INFO     | DF | Enhanced noisy audio file 'noisy2_SNRdb_7.0_clnsp2.wav' in 0.3s (RT factor: 0.011)
2022-11-28 04:31:20 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 04:31:20 | INFO     | DF | Running on host workstation3
2022-11-28 04:31:20 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 04:31:20 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 04:31:21 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 04:31:21 | INFO     | DF | Running on device cuda:2
2022-11-28 04:31:21 | INFO     | DF | Model loaded
